iteration,lr,train_batch_size,gamma,n_optimiser_steps,max_grad_norm,episode_reward_mean_eve,episode_reward_mean_bob,episode_reward_mean_alice
0,1e-05,10,0.99,100,1.0,-177.39492797851562,5.6169586181640625,5.6169586181640625
1,1e-05,10,0.99,100,1.0,-156.22262573242188,-4.082032680511475,-4.082032680511475
2,1e-05,10,0.99,100,1.0,-156.68389892578125,-3.731675624847412,-3.731675624847412
3,1e-05,10,0.99,100,1.0,-131.06646728515625,-18.625030517578125,-18.625030517578125
4,1e-05,10,0.99,100,1.0,-121.29173278808594,-20.719635009765625,-20.719635009765625
5,1e-05,10,0.99,100,1.0,-90.11628723144531,-24.429332733154297,-24.429332733154297
6,1e-05,10,0.99,100,1.0,-167.13113403320312,-1.646558403968811,-1.646558403968811
7,1e-05,10,0.99,100,1.0,-185.1258544921875,14.652488708496094,14.652488708496094
8,1e-05,10,0.99,100,1.0,-201.6046142578125,11.162103652954102,11.162103652954102
9,1e-05,10,0.99,100,1.0,-158.02828979492188,-14.4193115234375,-14.4193115234375
0,5e-05,10,0.99,100,1.0,-177.39492797851562,5.6169586181640625,5.6169586181640625
1,5e-05,10,0.99,100,1.0,-177.80377197265625,19.230327606201172,19.230327606201172
2,5e-05,10,0.99,100,1.0,-151.984375,-3.8486456871032715,-3.8486456871032715
3,5e-05,10,0.99,100,1.0,-127.7425308227539,-38.220821380615234,-38.220821380615234
4,5e-05,10,0.99,100,1.0,-124.43914794921875,-69.43778991699219,-69.43778991699219
5,5e-05,10,0.99,100,1.0,-89.60946655273438,-87.12000274658203,-87.12000274658203
6,5e-05,10,0.99,100,1.0,-166.9064178466797,0.6493149995803833,0.6493149995803833
7,5e-05,10,0.99,100,1.0,-185.67625427246094,50.092185974121094,50.092185974121094
8,5e-05,10,0.99,100,1.0,-200.11019897460938,-11.8978853225708,-11.8978853225708
9,5e-05,10,0.99,100,1.0,-157.39404296875,-64.21723937988281,-64.21723937988281
0,0.0001,10,0.99,100,1.0,-177.39492797851562,5.6169586181640625,5.6169586181640625
1,0.0001,10,0.99,100,1.0,-177.72459411621094,11.038307189941406,11.038307189941406
2,0.0001,10,0.99,100,1.0,-140.01080322265625,-12.355247497558594,-12.355247497558594
3,0.0001,10,0.99,100,1.0,-148.09963989257812,-22.787202835083008,-22.787202835083008
4,0.0001,10,0.99,100,1.0,-164.50411987304688,-30.379047393798828,-30.379047393798828
5,0.0001,10,0.99,100,1.0,-130.71542358398438,-44.80908203125,-44.80908203125
6,0.0001,10,0.99,100,1.0,-194.8286895751953,2.1888184547424316,2.1888184547424316
7,0.0001,10,0.99,100,1.0,-194.4466094970703,38.84678649902344,38.84678649902344
8,0.0001,10,0.99,100,1.0,-200.1021728515625,24.153966903686523,24.153966903686523
9,0.0001,10,0.99,100,1.0,-157.3111572265625,-40.853485107421875,-40.853485107421875
0,0.0005,10,0.99,100,1.0,-177.39492797851562,5.6169586181640625,5.6169586181640625
1,0.0005,10,0.99,100,1.0,-172.03521728515625,2.039036273956299,2.039036273956299
2,0.0005,10,0.99,100,1.0,-138.58563232421875,-35.97877883911133,-35.97877883911133
3,0.0005,10,0.99,100,1.0,-148.33518981933594,-48.540443420410156,-48.540443420410156
4,0.0005,10,0.99,100,1.0,-164.81166076660156,-45.315460205078125,-45.315460205078125
5,0.0005,10,0.99,100,1.0,-130.9432830810547,-109.89213562011719,-109.89213562011719
6,0.0005,10,0.99,100,1.0,-195.751953125,5.761792182922363,5.761792182922363
7,0.0005,10,0.99,100,1.0,-195.49874877929688,-18.162689208984375,-18.162689208984375
8,0.0005,10,0.99,100,1.0,-231.61337280273438,17.398860931396484,17.398860931396484
9,0.0005,10,0.99,100,1.0,-204.33621215820312,-19.0911865234375,-19.0911865234375
0,0.001,10,0.99,100,1.0,-177.39492797851562,5.6169586181640625,5.6169586181640625
1,0.001,10,0.99,100,1.0,-172.0455322265625,2.037222385406494,2.037222385406494
2,0.001,10,0.99,100,1.0,-138.5873565673828,-36.42471694946289,-36.42471694946289
3,0.001,10,0.99,100,1.0,-148.33914184570312,-48.56352615356445,-48.56352615356445
4,0.001,10,0.99,100,1.0,-164.83511352539062,-45.38962173461914,-45.38962173461914
5,0.001,10,0.99,100,1.0,-130.95079040527344,-146.4030303955078,-146.4030303955078
6,0.001,10,0.99,100,1.0,-195.76707458496094,5.058689117431641,5.058689117431641
7,0.001,10,0.99,100,1.0,-195.51089477539062,0.5718741416931152,0.5718741416931152
8,0.001,10,0.99,100,1.0,-231.62753295898438,-0.1099347323179245,-0.1099347323179245
9,0.001,10,0.99,100,1.0,-204.35267639160156,-1.0783379077911377,-1.0783379077911377
0,0.005,10,0.99,100,1.0,-177.39492797851562,5.6169586181640625,5.6169586181640625
1,0.005,10,0.99,100,1.0,-178.04583740234375,2.582237958908081,2.582237958908081
2,0.005,10,0.99,100,1.0,-151.31765747070312,11.705859184265137,11.705859184265137
3,0.005,10,0.99,100,1.0,-127.69889831542969,-20.17196273803711,-20.17196273803711
4,0.005,10,0.99,100,1.0,-123.89456939697266,-40.48369216918945,-40.48369216918945
5,0.005,10,0.99,100,1.0,-89.04328918457031,-41.77312088012695,-41.77312088012695
6,0.005,10,0.99,100,1.0,-166.261962890625,-28.889694213867188,-28.889694213867188
7,0.005,10,0.99,100,1.0,-184.702392578125,-10.236794471740723,-10.236794471740723
8,0.005,10,0.99,100,1.0,-199.81507873535156,-31.922924041748047,-31.922924041748047
9,0.005,10,0.99,100,1.0,-157.13919067382812,-48.29193878173828,-48.29193878173828
0,0.0003,10,0.9,100,1.0,-177.39492797851562,5.6169586181640625,5.6169586181640625
1,0.0003,10,0.9,100,1.0,-172.00668334960938,2.070415496826172,2.070415496826172
2,0.0003,10,0.9,100,1.0,-138.58518981933594,-13.9672269821167,-13.9672269821167
3,0.0003,10,0.9,100,1.0,-148.32229614257812,-23.600751876831055,-23.600751876831055
4,0.0003,10,0.9,100,1.0,-164.7658233642578,-44.72887420654297,-44.72887420654297
5,0.0003,10,0.9,100,1.0,-130.91714477539062,-109.9626235961914,-109.9626235961914
6,0.0003,10,0.9,100,1.0,-195.70925903320312,39.27515411376953,39.27515411376953
7,0.0003,10,0.9,100,1.0,-195.45750427246094,55.87214279174805,55.87214279174805
8,0.0003,10,0.9,100,1.0,-231.53662109375,17.27267837524414,17.27267837524414
9,0.0003,10,0.9,100,1.0,-204.20993041992188,-18.73586654663086,-18.73586654663086
0,0.0003,10,0.92,100,1.0,-177.39492797851562,5.6169586181640625,5.6169586181640625
1,0.0003,10,0.92,100,1.0,-172.00672912597656,2.0709807872772217,2.0709807872772217
2,0.0003,10,0.92,100,1.0,-138.585205078125,-13.967245101928711,-13.967245101928711
3,0.0003,10,0.92,100,1.0,-148.32220458984375,-23.602109909057617,-23.602109909057617
4,0.0003,10,0.92,100,1.0,-164.76571655273438,-44.7547492980957,-44.7547492980957
5,0.0003,10,0.92,100,1.0,-130.9168243408203,-109.96775817871094,-109.96775817871094
6,0.0003,10,0.92,100,1.0,-195.7089385986328,39.25401306152344,39.25401306152344
7,0.0003,10,0.92,100,1.0,-195.45733642578125,55.87141036987305,55.87141036987305
8,0.0003,10,0.92,100,1.0,-231.53564453125,17.271392822265625,17.271392822265625
9,0.0003,10,0.92,100,1.0,-204.2012939453125,-18.7351131439209,-18.7351131439209
0,0.0003,10,0.94,100,1.0,-177.39492797851562,5.6169586181640625,5.6169586181640625
1,0.0003,10,0.94,100,1.0,-172.0067596435547,2.071552276611328,2.071552276611328
2,0.0003,10,0.94,100,1.0,-138.58523559570312,-13.967193603515625,-13.967193603515625
3,0.0003,10,0.94,100,1.0,-148.3220672607422,-23.603498458862305,-23.603498458862305
4,0.0003,10,0.94,100,1.0,-164.76560974121094,-44.775840759277344,-44.775840759277344
5,0.0003,10,0.94,100,1.0,-130.9165496826172,-109.9697265625,-109.9697265625
6,0.0003,10,0.94,100,1.0,-195.70864868164062,39.50980758666992,39.50980758666992
7,0.0003,10,0.94,100,1.0,-195.45706176757812,55.86993408203125,55.86993408203125
8,0.0003,10,0.94,100,1.0,-231.53347778320312,17.269758224487305,17.269758224487305
9,0.0003,10,0.94,100,1.0,-204.18576049804688,-18.73626136779785,-18.73626136779785
0,0.0003,10,0.96,100,1.0,-177.39492797851562,5.6169586181640625,5.6169586181640625
1,0.0003,10,0.96,100,1.0,-172.0067901611328,2.0721096992492676,2.0721096992492676
2,0.0003,10,0.96,100,1.0,-138.5852508544922,-13.967059135437012,-13.967059135437012
3,0.0003,10,0.96,100,1.0,-148.3219757080078,-23.604976654052734,-23.604976654052734
4,0.0003,10,0.96,100,1.0,-164.76548767089844,-44.792198181152344,-44.792198181152344
5,0.0003,10,0.96,100,1.0,-130.91627502441406,-109.9743881225586,-109.9743881225586
6,0.0003,10,0.96,100,1.0,-195.70834350585938,39.66852569580078,39.66852569580078
7,0.0003,10,0.96,100,1.0,-195.45663452148438,55.87138748168945,55.87138748168945
8,0.0003,10,0.96,100,1.0,-231.5305938720703,17.272903442382812,17.272903442382812
9,0.0003,10,0.96,100,1.0,-204.16238403320312,-18.6959228515625,-18.6959228515625
0,0.0003,10,0.98,100,1.0,-177.39492797851562,5.6169586181640625,5.6169586181640625
1,0.0003,10,0.98,100,1.0,-172.0067901611328,2.0726699829101562,2.0726699829101562
2,0.0003,10,0.98,100,1.0,-138.58526611328125,-13.966809272766113,-13.966809272766113
3,0.0003,10,0.98,100,1.0,-148.32188415527344,-23.606584548950195,-23.606584548950195
4,0.0003,10,0.98,100,1.0,-164.76541137695312,-44.81605911254883,-44.81605911254883
5,0.0003,10,0.98,100,1.0,-130.91598510742188,-109.9749984741211,-109.9749984741211
6,0.0003,10,0.98,100,1.0,-195.70803833007812,39.322601318359375,39.322601318359375
7,0.0003,10,0.98,100,1.0,-195.45611572265625,55.86693572998047,55.86693572998047
8,0.0003,10,0.98,100,1.0,-231.5261688232422,17.266998291015625,17.266998291015625
9,0.0003,10,0.98,100,1.0,-204.12440490722656,-18.724811553955078,-18.724811553955078
0,0.0003,10,0.99,100,1.0,-177.39492797851562,5.6169586181640625,5.6169586181640625
1,0.0003,10,0.99,100,1.0,-172.0067901611328,2.0729644298553467,2.0729644298553467
2,0.0003,10,0.99,100,1.0,-138.5852813720703,-13.966699600219727,-13.966699600219727
3,0.0003,10,0.99,100,1.0,-148.32186889648438,-23.607423782348633,-23.607423782348633
4,0.0003,10,0.99,100,1.0,-164.76535034179688,-44.830474853515625,-44.830474853515625
5,0.0003,10,0.99,100,1.0,-130.91583251953125,-109.9752426147461,-109.9752426147461
6,0.0003,10,0.99,100,1.0,-195.70787048339844,39.00688934326172,39.00688934326172
7,0.0003,10,0.99,100,1.0,-195.45584106445312,55.868247985839844,55.868247985839844
8,0.0003,10,0.99,100,1.0,-231.52334594726562,17.2717342376709,17.2717342376709
9,0.0003,10,0.99,100,1.0,-204.0952606201172,-18.625070571899414,-18.625070571899414
0,0.0003,10,0.99,20,1.0,-177.39492797851562,5.6169586181640625,5.6169586181640625
1,0.0003,10,0.99,20,1.0,-177.73538208007812,22.327409744262695,22.327409744262695
2,0.0003,10,0.99,20,1.0,-179.16195678710938,0.13807335495948792,0.13807335495948792
3,0.0003,10,0.99,20,1.0,-154.17538452148438,-25.316970825195312,-25.316970825195312
4,0.0003,10,0.99,20,1.0,-152.01553344726562,1.5934021472930908,1.5934021472930908
5,0.0003,10,0.99,20,1.0,-148.8231658935547,-35.042564392089844,-35.042564392089844
6,0.0003,10,0.99,20,1.0,-176.17312622070312,19.89040184020996,19.89040184020996
7,0.0003,10,0.99,20,1.0,-175.95925903320312,-0.12248687446117401,-0.12248687446117401
8,0.0003,10,0.99,20,1.0,-259.8162536621094,112.26957702636719,112.26957702636719
9,0.0003,10,0.99,20,1.0,-194.8789825439453,55.0452995300293,55.0452995300293
0,0.0003,10,0.99,40,1.0,-177.39492797851562,5.6169586181640625,5.6169586181640625
1,0.0003,10,0.99,40,1.0,-181.57064819335938,12.740330696105957,12.740330696105957
2,0.0003,10,0.99,40,1.0,-190.16012573242188,10.796422004699707,10.796422004699707
3,0.0003,10,0.99,40,1.0,-174.31021118164062,-12.185325622558594,-12.185325622558594
4,0.0003,10,0.99,40,1.0,-170.8083953857422,-0.3233352601528168,-0.3233352601528168
5,0.0003,10,0.99,40,1.0,-194.19003295898438,1.5124351978302002,1.5124351978302002
6,0.0003,10,0.99,40,1.0,-203.13027954101562,54.61231231689453,54.61231231689453
7,0.0003,10,0.99,40,1.0,-167.8251953125,55.4058723449707,55.4058723449707
8,0.0003,10,0.99,40,1.0,-183.97317504882812,53.29370880126953,53.29370880126953
9,0.0003,10,0.99,40,1.0,-130.30723571777344,-82.05162048339844,-82.05162048339844
0,0.0003,10,0.99,60,1.0,-177.39492797851562,5.6169586181640625,5.6169586181640625
1,0.0003,10,0.99,60,1.0,-179.12709045410156,31.70741844177246,31.70741844177246
2,0.0003,10,0.99,60,1.0,-184.50439453125,24.404325485229492,24.404325485229492
3,0.0003,10,0.99,60,1.0,-167.87094116210938,-12.417989730834961,-12.417989730834961
4,0.0003,10,0.99,60,1.0,-197.50155639648438,32.67242431640625,32.67242431640625
5,0.0003,10,0.99,60,1.0,-139.15426635742188,-19.6290225982666,-19.6290225982666
6,0.0003,10,0.99,60,1.0,-167.12132263183594,-70.58866882324219,-70.58866882324219
7,0.0003,10,0.99,60,1.0,-185.01498413085938,0.27869558334350586,0.27869558334350586
8,0.0003,10,0.99,60,1.0,-249.50405883789062,18.40264320373535,18.40264320373535
9,0.0003,10,0.99,60,1.0,-186.20497131347656,17.85272216796875,17.85272216796875
0,0.0003,10,0.99,80,1.0,-177.39492797851562,5.6169586181640625,5.6169586181640625
1,0.0003,10,0.99,80,1.0,-170.90040588378906,8.651019096374512,8.651019096374512
2,0.0003,10,0.99,80,1.0,-178.0765838623047,18.459991455078125,18.459991455078125
3,0.0003,10,0.99,80,1.0,-208.52099609375,-0.8490539789199829,-0.8490539789199829
4,0.0003,10,0.99,80,1.0,-197.37295532226562,16.675209045410156,16.675209045410156
5,0.0003,10,0.99,80,1.0,-121.52217864990234,-18.317472457885742,-18.317472457885742
6,0.0003,10,0.99,80,1.0,-212.9054718017578,18.227073669433594,18.227073669433594
7,0.0003,10,0.99,80,1.0,-167.25962829589844,-8.775057792663574,-8.775057792663574
8,0.0003,10,0.99,80,1.0,-221.8419647216797,-18.3571834564209,-18.3571834564209
9,0.0003,10,0.99,80,1.0,-139.87722778320312,-68.47722625732422,-68.47722625732422
0,0.0003,10,0.99,100,1.0,-177.39492797851562,5.6169586181640625,5.6169586181640625
1,0.0003,10,0.99,100,1.0,-172.0067901611328,2.0729644298553467,2.0729644298553467
2,0.0003,10,0.99,100,1.0,-138.5852813720703,-13.966699600219727,-13.966699600219727
3,0.0003,10,0.99,100,1.0,-148.32186889648438,-23.607423782348633,-23.607423782348633
4,0.0003,10,0.99,100,1.0,-164.76535034179688,-44.830474853515625,-44.830474853515625
5,0.0003,10,0.99,100,1.0,-130.91583251953125,-109.9752426147461,-109.9752426147461
6,0.0003,10,0.99,100,1.0,-195.70787048339844,39.00688934326172,39.00688934326172
7,0.0003,10,0.99,100,1.0,-195.45584106445312,55.868247985839844,55.868247985839844
8,0.0003,10,0.99,100,1.0,-231.52334594726562,17.2717342376709,17.2717342376709
9,0.0003,10,0.99,100,1.0,-204.0952606201172,-18.625070571899414,-18.625070571899414
0,0.0003,10,0.99,120,1.0,-177.39492797851562,5.6169586181640625,5.6169586181640625
1,0.0003,10,0.99,120,1.0,-176.7752685546875,7.312814235687256,7.312814235687256
2,0.0003,10,0.99,120,1.0,-170.46466064453125,1.6088730096817017,1.6088730096817017
3,0.0003,10,0.99,120,1.0,-180.07666015625,36.00575256347656,36.00575256347656
4,0.0003,10,0.99,120,1.0,-170.98309326171875,16.208370208740234,16.208370208740234
5,0.0003,10,0.99,120,1.0,-148.55865478515625,-73.78620910644531,-73.78620910644531
6,0.0003,10,0.99,120,1.0,-195.15895080566406,18.243154525756836,18.243154525756836
7,0.0003,10,0.99,120,1.0,-185.56480407714844,-37.124755859375,-37.124755859375
8,0.0003,10,0.99,120,1.0,-231.94412231445312,37.37581253051758,37.37581253051758
9,0.0003,10,0.99,120,1.0,-157.83853149414062,-18.674001693725586,-18.674001693725586
0,0.0003,10,0.99,100,0.2,-177.39492797851562,5.6169586181640625,5.6169586181640625
1,0.0003,10,0.99,100,0.2,-172.03158569335938,2.067577838897705,2.067577838897705
2,0.0003,10,0.99,100,0.2,-138.58755493164062,-13.928436279296875,-13.928436279296875
3,0.0003,10,0.99,100,0.2,-148.33152770996094,-23.626773834228516,-23.626773834228516
4,0.0003,10,0.99,100,0.2,-164.8079071044922,-45.09571075439453,-45.09571075439453
5,0.0003,10,0.99,100,0.2,-130.93618774414062,-84.93409729003906,-84.93409729003906
6,0.0003,10,0.99,100,0.2,-195.6900634765625,37.86991500854492,37.86991500854492
7,0.0003,10,0.99,100,0.2,-195.39892578125,55.77418899536133,55.77418899536133
8,0.0003,10,0.99,100,0.2,-199.93795776367188,-14.327054023742676,-14.327054023742676
9,0.0003,10,0.99,100,0.2,-157.12413024902344,-65.85655975341797,-65.85655975341797
0,0.0003,10,0.99,100,0.4,-177.39492797851562,5.6169586181640625,5.6169586181640625
1,0.0003,10,0.99,100,0.4,-172.01905822753906,2.0917439460754395,2.0917439460754395
2,0.0003,10,0.99,100,0.4,-138.58718872070312,-13.884309768676758,-13.884309768676758
3,0.0003,10,0.99,100,0.4,-148.3262176513672,-23.61140251159668,-23.61140251159668
4,0.0003,10,0.99,100,0.4,-164.78823852539062,-44.94141387939453,-44.94141387939453
5,0.0003,10,0.99,100,0.4,-130.92852783203125,-106.33927917480469,-106.33927917480469
6,0.0003,10,0.99,100,0.4,-195.72755432128906,37.41257095336914,37.41257095336914
7,0.0003,10,0.99,100,0.4,-195.46786499023438,55.84306716918945,55.84306716918945
8,0.0003,10,0.99,100,0.4,-231.3701171875,17.081233978271484,17.081233978271484
9,0.0003,10,0.99,100,0.4,-157.11000061035156,-65.74024963378906,-65.74024963378906
0,0.0003,10,0.99,100,0.6,-177.39492797851562,5.6169586181640625,5.6169586181640625
1,0.0003,10,0.99,100,0.6,-172.0125732421875,2.081826686859131,2.081826686859131
2,0.0003,10,0.99,100,0.6,-138.58663940429688,-13.975723266601562,-13.975723266601562
3,0.0003,10,0.99,100,0.6,-148.3235626220703,-23.6084041595459,-23.6084041595459
4,0.0003,10,0.99,100,0.6,-164.77655029296875,-44.933921813964844,-44.933921813964844
5,0.0003,10,0.99,100,0.6,-130.9220733642578,-109.8868408203125,-109.8868408203125
6,0.0003,10,0.99,100,0.6,-195.71730041503906,41.14645767211914,41.14645767211914
7,0.0003,10,0.99,100,0.6,-195.46095275878906,55.89946365356445,55.89946365356445
8,0.0003,10,0.99,100,0.6,-231.4781951904297,36.32808303833008,36.32808303833008
9,0.0003,10,0.99,100,0.6,-157.0849609375,-80.95121765136719,-80.95121765136719
0,0.0003,10,0.99,100,0.8,-177.39492797851562,5.6169586181640625,5.6169586181640625
1,0.0003,10,0.99,100,0.8,-172.00894165039062,2.0759670734405518,2.0759670734405518
2,0.0003,10,0.99,100,0.8,-138.5859375,-13.969990730285645,-13.969990730285645
3,0.0003,10,0.99,100,0.8,-148.32296752929688,-23.60652732849121,-23.60652732849121
4,0.0003,10,0.99,100,0.8,-164.77108764648438,-44.857460021972656,-44.857460021972656
5,0.0003,10,0.99,100,0.8,-130.91925048828125,-109.9693832397461,-109.9693832397461
6,0.0003,10,0.99,100,0.8,-195.71328735351562,38.10529327392578,38.10529327392578
7,0.0003,10,0.99,100,0.8,-195.4598388671875,55.898231506347656,55.898231506347656
8,0.0003,10,0.99,100,0.8,-231.5200958251953,25.7457332611084,25.7457332611084
9,0.0003,10,0.99,100,0.8,-203.9253692626953,-37.00215530395508,-37.00215530395508
0,0.0003,10,0.99,100,1.0,-177.39492797851562,5.6169586181640625,5.6169586181640625
1,0.0003,10,0.99,100,1.0,-172.0067901611328,2.0729644298553467,2.0729644298553467
2,0.0003,10,0.99,100,1.0,-138.5852813720703,-13.966699600219727,-13.966699600219727
3,0.0003,10,0.99,100,1.0,-148.32186889648438,-23.607423782348633,-23.607423782348633
4,0.0003,10,0.99,100,1.0,-164.76535034179688,-44.830474853515625,-44.830474853515625
5,0.0003,10,0.99,100,1.0,-130.91583251953125,-109.9752426147461,-109.9752426147461
6,0.0003,10,0.99,100,1.0,-195.70787048339844,39.00688934326172,39.00688934326172
7,0.0003,10,0.99,100,1.0,-195.45584106445312,55.868247985839844,55.868247985839844
8,0.0003,10,0.99,100,1.0,-231.52334594726562,17.2717342376709,17.2717342376709
9,0.0003,10,0.99,100,1.0,-204.0952606201172,-18.625070571899414,-18.625070571899414
0,0.0003,10,0.99,100,1.2,-177.39492797851562,5.6169586181640625,5.6169586181640625
1,0.0003,10,0.99,100,1.2,-172.0055694580078,2.0715103149414062,2.0715103149414062
2,0.0003,10,0.99,100,1.2,-138.58755493164062,-13.963464736938477,-13.963464736938477
3,0.0003,10,0.99,100,1.2,-148.31982421875,-23.60922622680664,-23.60922622680664
4,0.0003,10,0.99,100,1.2,-164.76150512695312,-44.817604064941406,-44.817604064941406
5,0.0003,10,0.99,100,1.2,-130.91464233398438,-109.9523696899414,-109.9523696899414
6,0.0003,10,0.99,100,1.2,-195.70657348632812,38.40996551513672,38.40996551513672
7,0.0003,10,0.99,100,1.2,-195.4556427001953,55.869659423828125,55.869659423828125
8,0.0003,10,0.99,100,1.2,-231.5396728515625,17.285720825195312,17.285720825195312
9,0.0003,10,0.99,100,1.2,-204.2202911376953,-18.605823516845703,-18.605823516845703
